rule_name,description,benchmark,gpt_answer,gpt_configuration,tag
6.2.3 Method names,"Method names are written in `lowerCamelCase` . Names for `@private` methods must end with a trailing underscore.
 Method names are typically verbs or verb phrases. For example, `sendMessage` or `stop_` . Getter and setter methods for properties are never required, but if they are used they should be named `getFoo` (or optionally `isFoo` or `hasFoo` for booleans), or `setFoo(value)` for setters.
 Underscores may also appear in JsUnit test method names to separate logical components of the name. One typical pattern is `test<MethodUnderTest>_<state>_<expectedOutcome>` , for example `testPop_emptyStack_throws` . There is no One Correct Way to name test methods.",{'camelcase': 'error'},Yes,"{'camelcase': ['error', {'properties': 'always', 'ignoreDestructuring': False, 'ignoreImports': False, 'ignoreGlobals': False, 'allow': ['^test[A-Z]']}], 'no-underscore-dangle': ['error', {'allowAfterThis': True, 'allowAfterSuper': True, 'allowAfterThisConstructor': True, 'enforceInMethodNames': False, 'allowInArrayDestructuring': True, 'allowInObjectDestructuring': True, 'allowFunctionParams': True}]}",exist config in str
6.2.4 Enum names,"Enum names are written in `UpperCamelCase` , similar to classes, and should generally be singular nouns. Individual items within the enum are named in `CONSTANT_CASE` .",{'camelcase': 'error'},Yes,"{'camelcase': ['always', {'properties': 'always', 'ignoreDestructuring': False, 'ignoreImports': False, 'ignoreGlobals': False}], 'new-cap': ['error', {'newIsCap': True, 'capIsNew': True, 'properties': True}]}",exist config in str
6.2.5 Constant names,"Constant names use `CONSTANT_CASE` : all uppercase letters, with words separated by underscores. There is no reason for a constant to be named with a trailing underscore, since private static properties can be replaced by (implicitly private) module locals.",,Yes,"{'camelcase': ['properties', {'properties': 'always', 'ignoreDestructuring': False, 'ignoreImports': False, 'ignoreGlobals': False}]}",valid config part
6.2.5.1 Definition of “constant”,"Every constant is a `@const` static property or a module-local `const` declaration, but not all `@const` static properties and module-local `const` s are constants. Before choosing constant case, consider whether the field really feels like a deeply immutable constant. For example, if any of that instance's observable state can change, it is almost certainly not a constant. Merely intending to never mutate the object is generally not enough.
 Examples:
 // Constants
 const NUMBER = 5;
 /** @const */ exports.NAMES = ImmutableList.of('Ed', 'Ann');
 /** @enum */ exports.SomeEnum = { ENUM_CONSTANT: 'value' };
 
 // Not constants
 let letVariable = 'non-const';
 class MyClass { constructor() { /** @const {string} */ this.nonStatic = 'non-static'; } };
 /** @type {string} */ MyClass.staticButMutable = 'not @const, can be reassigned';
 const /** Set<string> */ mutableCollection = new Set();
 const /** ImmutableSet<SomeMutableType> */ mutableElements = ImmutableSet.of(mutable);
 const Foo = goog.require('my.Foo'); // mirrors imported name
 const logger = log.getLogger('loggers.are.not.immutable');
 
 Constants’ names are typically nouns or noun phrases.",,Yes,"{'prefer-const': ['error', {'destructuring': 'any', 'ignoreReadBeforeAssign': False}], 'no-const-assign': 'error', 'no-implicit-globals': ['error', {'lexicalBindings': True}], 'no-var': 'error', 'one-var': ['error', {'var': 'never', 'let': 'never', 'const': 'never'}], 'no-magic-numbers': ['error', {'ignore': [], 'ignoreArrayIndexes': False, 'ignoreDefaultValues': False, 'ignoreClassFieldInitialValues': False, 'enforceConst': True, 'detectObjects': False}], 'no-constant-condition': ['error', {'checkLoops': True}], 'no-use-before-define': ['error', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'camelcase': ['error', {'properties': 'always', 'ignoreDestructuring': False, 'ignoreImports': False, 'ignoreGlobals': False, 'allow': []}], 'no-redeclare': ['error', {'builtinGlobals': True}], 'no-undefined': 'error', 'init-declarations': ['error', {'always': True}], 'no-global-assign': ['error', {'exceptions': []}], 'no-undef-init': 'error', 'no-multi-assign': ['error', {'ignoreNonDeclaration': False}], 'no-invalid-this': ['error', {'capIsConstructor': True}], 'quote-props': ['error', {'keywords': True, 'unnecessary': True, 'numbers': True}], 'no-class-assign': 'error', 'no-undef': ['error', {'typeof': False}], 'no-new-native-nonconstructor': 'error'}",exist config in str
6.2.5.2 Local aliases,"Local aliases should be used whenever they improve readability over fully-qualified names. Follow the same rules as `goog.require` s ( ?? ), maintaining the last part of the aliased name. Aliases may also be used within functions. Aliases must be `const` .
 Examples:
 const staticHelper = importedNamespace.staticHelper;
 const CONSTANT_NAME = ImportedClass.CONSTANT_NAME;
 const {assert, assertInstanceof} = asserts;",,Yes,"{'prefer-const': ['error'], 'no-use-before-define': ['error', {'variables': True, 'functions': False, 'classes': True}], 'no-shadow': ['error', {'builtinGlobals': False, 'hoist': 'functions', 'allow': [], 'ignoreOnInitialization': False}]}",valid config part
6.2.6 Non-constant field names,"Non-constant field names (static or otherwise) are written in `lowerCamelCase` , with a trailing underscore for private fields.
 These names are typically nouns or noun phrases. For example, `computedValues` or `index_` .",{'camelcase': 'error'},Yes,"{'camelcase': [{'properties': 'always', 'ignoreDestructuring': False, 'ignoreImports': False, 'ignoreGlobals': False, 'allow': ['_']}], 'no-underscore-dangle': [{'allowAfterThis': True, 'allowAfterSuper': True, 'allowAfterThisConstructor': True, 'enforceInMethodNames': False, 'enforceInClassFields': False, 'allowInArrayDestructuring': True, 'allowInObjectDestructuring': True, 'allowFunctionParams': True}]}",valid config part
6.2.7 Parameter names,"Parameter names are written in `lowerCamelCase` . Note that this applies even if the parameter expects a constructor.
 One-character parameter names should not be used in public methods.
 Exception : When required by a third-party framework, parameter names may begin with a `$` . This exception does not apply to any other identifiers (e.g. local variables or properties).",{'camelcase': 'error'},Yes,"{'camelcase': ['error', {'properties': 'always', 'ignoreDestructuring': False, 'ignoreImports': False, 'ignoreGlobals': False}], 'id-length': ['error', {'min': 2, 'properties': 'always', 'exceptions': ['$', 'i', 'j', 'k'], 'exceptionPatterns': ['^\\$']}]}",exist config in str
6.2.8 Local variable names,"Local variable names are written in `lowerCamelCase` , except for module-local (top-level) constants, as described above. Constants in function scopes are still named in `lowerCamelCase` . Note that `lowerCamelCase` is used even if the variable holds a constructor.",{'camelcase': 'error'},Yes,"{'camelcase': ['error', {'properties': 'always'}], 'new-cap': ['error', {'newIsCap': True, 'capIsNew': True}], 'no-var': 'error', 'prefer-const': ['error', {'destructuring': 'any', 'ignoreReadBeforeAssign': False}]}",exist config in str
6.2.9 Template parameter names,"Template parameter names should be concise, single-word or single-letter identifiers, and must be all-caps, such as `TYPE` or `THIS` .",,Yes,"{'consistent-this': ['TYPE', 'THIS']}",valid config part
6.2.10 Module-local names,"Module-local names that are not exported are implicitly private. They are not marked `@private` and do not end in an underscore. This applies to classes, functions, variables, constants, enums, and other module-local identifiers.",,Yes,"{'no-underscore-dangle': ['error', {'allowAfterThis': False, 'allowAfterSuper': False, 'allowAfterThisConstructor': False, 'enforceInMethodNames': False, 'enforceInClassFields': False}]}",valid config part
6.3 Camel case: defined,"Sometimes there is more than one reasonable way to convert an English phrase into camel case, such as when acronyms or unusual constructs like IPv6 or iOS are present. To improve predictability, Google Style specifies the following (nearly) deterministic scheme.
 Beginning with the prose form of the name:
 Convert the phrase to plain ASCII and remove any apostrophes. For example, Müller's algorithm might become Muellers algorithm . 
 Divide this result into words, splitting on spaces and any remaining punctuation (typically hyphens). 
 Recommended: if any word already has a conventional camel case appearance in common usage, split this into its constituent parts (e.g., AdWords becomes ad words ). Note that a word such as iOS is not really in camel case per se; it defies any convention, so this recommendation does not apply. 
 Now lowercase everything (including acronyms), then uppercase only the first character of: 
 … each word, to yield upper camel case, or 
 … each word except the first, to yield lower camel case 
 Finally, join all the words into a single identifier.
 Note that the casing of the original words is almost entirely disregarded.
 Examples:
 Prose form 
 Correct 
 Incorrect 
 XML HTTP request 
 XmlHttpRequest 
 XMLHTTPRequest 
 new customer ID 
 newCustomerId 
 newCustomerID 
 inner stopwatch 
 innerStopwatch 
 innerStopWatch 
 supports IPv6 on iOS? 
 supportsIpv6OnIos 
 supportsIPv6OnIOS 
 YouTube importer 
 YouTubeImporter 
 YoutubeImporter*
 *Acceptable, but not recommended.
 Note: Some words are ambiguously hyphenated in the English language: for example nonempty and non-empty are both correct, so the method names checkNonempty and checkNonEmpty are likewise both correct.",,Yes,"{'camelcase': ['error', {'properties': 'always', 'ignoreDestructuring': False, 'ignoreImports': False, 'ignoreGlobals': False, 'allow': []}]}",valid config part
7 JSDoc,"JSDoc is used on all classes, fields, and methods.","{'require-jsdoc': ['error', {'require': {'FunctionDeclaration': True, 'MethodDefinition': True, 'ClassDeclaration': True, 'ArrowFunctionExpression': False, 'FunctionExpression': False}}]}",Yes,"{'require-jsdoc': [{'require': {'FunctionDeclaration': True, 'MethodDefinition': True, 'ClassDeclaration': True, 'ArrowFunctionExpression': True, 'FunctionExpression': True}}], 'valid-jsdoc': [{'requireReturn': True, 'requireReturnType': False, 'requireParamDescription': True, 'requireReturnDescription': True}]}",valid config part
7.1 General form,"The basic formatting of JSDoc blocks is as seen in this example:
 /**
  * Multiple lines of JSDoc text are written here,
  * wrapped normally.
  * @param {number} arg A number to do something to.
  */
 function doSomething(arg) { … }
 
 or in this single-line example:
 /** @const @private {!Foo} A short bit of JSDoc. */
 this.foo_ = foo;
 
 If a single-line comment overflows into multiple lines, it must use the multi-line style with `/**` and `*/` on their own lines.
 Many tools extract metadata from JSDoc comments to perform code validation and optimization. As such, these comments must be well-formed.","{'require-jsdoc': ['error', {'require': {'FunctionDeclaration': True, 'MethodDefinition': True, 'ClassDeclaration': True, 'ArrowFunctionExpression': False, 'FunctionExpression': False}}]}",Yes,"{'valid-jsdoc': ['error', {'requireReturn': True, 'requireReturnType': True, 'requireParamDescription': True, 'requireReturnDescription': True, 'requireParamType': True}], 'multiline-comment-style': ['error', 'starred-block']}",valid config part
